tasks, time 
1,202000
2,103122
3,70035
4,53848
5,43857
6,37172
7,32493
8,29012
9,26299
10,24002
11,22318
12,20664
13,19435
14,18476
15,17793
16,16890
17,15771
18,15466
19,14672
20,14331
21,13937
22,13322
23,12876
24,12673
25,12288
26,12303
27,12243
28,11766
29,11560
30,11316
31,11447
32,11281
33,11160
34,10797
35,10368
36,10243
37,10056
38,10083
39,10362
40,10068
41,9936
42,9794
43,9615
44,9620
45,9483
46,9471
47,9119
48,9210
49,9212
50,9212
51,9016
52,9165
53,9166
54,9038
55,9200
56,9260
57,9216
58,9119
59,9108
60,9023
61,9024
62,9025
63,8975
64,8898
65,8957
66,8960
67,8987
68,8899
69,8918
70,8866
71,8644
72,8813
73,8967
74,8943
75,8997
76,9067
77,9133
78,8890
79,8903
80,8896
81,9044
82,8874
83,8877
84,8897
85,9068
86,9072
87,8981
88,8927
89,8850
90,8898
91,8942
92,9139
93,9154
94,9182
95,9274
96,9278
97,9158
98,9190
99,9290
100,9161
